user,login_count,total_activity,source_file,failed_attempts,threat_score
AAF0535,1,1,user_authentication_logs.csv,0,0.05
AAM0658,1,1,user_authentication_logs.csv,0,0.05
ABB0427,1,1,user_authentication_logs.csv,0,0.05
ABC0174,1,1,user_authentication_logs.csv,0,0.05
ACA1126,1,1,user_authentication_logs.csv,0,0.05
ACM1770,1,1,user_authentication_logs.csv,0,0.05
ACM2278,1,1,user_authentication_logs.csv,0,0.05
ADC1257,1,1,user_authentication_logs.csv,0,0.05
AJR0932,1,1,user_authentication_logs.csv,0,0.05
AKR0057,1,1,user_authentication_logs.csv,0,0.05
ALT1465,1,1,user_authentication_logs.csv,0,0.05
ALW0764,1,1,user_authentication_logs.csv,0,0.05
AMC1883,1,1,user_authentication_logs.csv,0,0.05
ASH0298,1,1,user_authentication_logs.csv,0,0.05
ASH0458,1,1,user_authentication_logs.csv,0,0.05
AYG1697,1,1,user_authentication_logs.csv,0,0.05
BBS0039,1,1,user_authentication_logs.csv,0,0.05
BDP0096,1,1,user_authentication_logs.csv,0,0.05
BDV0168,1,1,user_authentication_logs.csv,0,0.05
BGC0686,1,1,user_authentication_logs.csv,0,0.05
BIH0745,1,1,user_authentication_logs.csv,0,0.05
BLS0678,1,1,user_authentication_logs.csv,0,0.05
BSS0369,1,1,user_authentication_logs.csv,0,0.05
BTL0226,1,1,user_authentication_logs.csv,0,0.05
BYO1846,1,1,user_authentication_logs.csv,0,0.05
CAH0936,1,1,user_authentication_logs.csv,0,0.05
CBW1826,1,1,user_authentication_logs.csv,0,0.05
CCA0046,1,1,user_authentication_logs.csv,0,0.05
CCH0959,1,1,user_authentication_logs.csv,0,0.05
CCL0068,1,1,user_authentication_logs.csv,0,0.05
CDE1846,1,1,user_authentication_logs.csv,0,0.05
CEJ0109,1,1,user_authentication_logs.csv,0,0.05
CGF1056,1,1,user_authentication_logs.csv,0,0.05
CHP1711,1,1,user_authentication_logs.csv,0,0.05
CIF1430,1,1,user_authentication_logs.csv,0,0.05
CKP0630,1,1,user_authentication_logs.csv,0,0.05
CMP2946,1,1,user_authentication_logs.csv,0,0.05
CPD1525,1,1,user_authentication_logs.csv,0,0.05
CQW0652,1,1,user_authentication_logs.csv,0,0.05
CRD0272,1,1,user_authentication_logs.csv,0,0.05
CSC0217,1,1,user_authentication_logs.csv,0,0.05
CSF0929,1,1,user_authentication_logs.csv,0,0.05
CSF2712,1,1,user_authentication_logs.csv,0,0.05
CWW1120,1,1,user_authentication_logs.csv,0,0.05
DAS1320,1,1,user_authentication_logs.csv,0,0.05
DCC1119,1,1,user_authentication_logs.csv,0,0.05
DCH0843,1,1,user_authentication_logs.csv,0,0.05
DIB0285,1,1,user_authentication_logs.csv,0,0.05
DIM0330,1,1,user_authentication_logs.csv,0,0.05
DKG0161,1,1,user_authentication_logs.csv,0,0.05
DNJ0740,1,1,user_authentication_logs.csv,0,0.05
DQM0809,1,1,user_authentication_logs.csv,0,0.05
DRR0162,1,1,user_authentication_logs.csv,0,0.05
EDB0714,1,1,user_authentication_logs.csv,0,0.05
EGD0132,1,1,user_authentication_logs.csv,0,0.05
EHB0824,1,1,user_authentication_logs.csv,0,0.05
EHD0584,1,1,user_authentication_logs.csv,0,0.05
ELM1123,1,1,user_authentication_logs.csv,0,0.05
ELT1370,1,1,user_authentication_logs.csv,0,0.05
EPG1196,1,1,user_authentication_logs.csv,0,0.05
ETW0002,1,1,user_authentication_logs.csv,0,0.05
FMG0527,1,1,user_authentication_logs.csv,0,0.05
FSC0601,1,1,user_authentication_logs.csv,0,0.05
FTM0406,1,1,user_authentication_logs.csv,0,0.05
FZG0389,1,1,user_authentication_logs.csv,0,0.05
GCD0194,1,1,user_authentication_logs.csv,0,0.05
GFM1815,1,1,user_authentication_logs.csv,0,0.05
GHL0460,1,1,user_authentication_logs.csv,0,0.05
GKW0043,1,1,user_authentication_logs.csv,0,0.05
GMB0400,1,1,user_authentication_logs.csv,0,0.05
GTD0219,1,1,user_authentication_logs.csv,0,0.05
GWG0497,1,1,user_authentication_logs.csv,0,0.05
HBO0413,1,1,user_authentication_logs.csv,0,0.05
HBP1076,1,1,user_authentication_logs.csv,0,0.05
HFC0492,1,1,user_authentication_logs.csv,0,0.05
HIS1394,1,1,user_authentication_logs.csv,0,0.05
HJB0462,1,1,user_authentication_logs.csv,0,0.05
HJB0742,1,1,user_authentication_logs.csv,0,0.05
HMS1658,1,1,user_authentication_logs.csv,0,0.05
HSN0675,1,1,user_authentication_logs.csv,0,0.05
HXL0968,1,1,user_authentication_logs.csv,0,0.05
HXP0976,1,1,user_authentication_logs.csv,0,0.05
ICB1354,1,1,user_authentication_logs.csv,0,0.05
IHC0561,1,1,user_authentication_logs.csv,0,0.05
IJM0776,1,1,user_authentication_logs.csv,0,0.05
IKR0401,1,1,user_authentication_logs.csv,0,0.05
IRH1224,1,1,user_authentication_logs.csv,0,0.05
ISW0738,1,1,user_authentication_logs.csv,0,0.05
ITA0159,1,1,user_authentication_logs.csv,0,0.05
IUB0565,1,1,user_authentication_logs.csv,0,0.05
JAK0783,1,1,user_authentication_logs.csv,0,0.05
JAL0811,1,1,user_authentication_logs.csv,0,0.05
JCC0016,1,1,user_authentication_logs.csv,0,0.05
JCE0258,1,1,user_authentication_logs.csv,0,0.05
JGT0221,1,1,user_authentication_logs.csv,0,0.05
JIG1593,1,1,user_authentication_logs.csv,0,0.05
JJM0203,1,1,user_authentication_logs.csv,0,0.05
JKB0287,1,1,user_authentication_logs.csv,0,0.05
JLM0364,1,1,user_authentication_logs.csv,0,0.05
JMB0308,1,1,user_authentication_logs.csv,0,0.05
JMM0613,1,1,user_authentication_logs.csv,0,0.05
JNR1592,1,1,user_authentication_logs.csv,0,0.05
JPH1910,1,1,user_authentication_logs.csv,0,0.05
JRG0207,1,1,user_authentication_logs.csv,0,0.05
JTC1885,1,1,user_authentication_logs.csv,0,0.05
JTM0223,1,1,user_authentication_logs.csv,0,0.05
JUP1472,1,1,user_authentication_logs.csv,0,0.05
KBC1390,1,1,user_authentication_logs.csv,0,0.05
KCM0466,1,1,user_authentication_logs.csv,0,0.05
KDC0996,1,1,user_authentication_logs.csv,0,0.05
KEW0198,1,1,user_authentication_logs.csv,0,0.05
KLH0596,1,1,user_authentication_logs.csv,0,0.05
KPC0073,1,1,user_authentication_logs.csv,0,0.05
KRL0501,1,1,user_authentication_logs.csv,0,0.05
KSS1005,1,1,user_authentication_logs.csv,0,0.05
KTW0365,1,1,user_authentication_logs.csv,0,0.05
LAH0463,1,1,user_authentication_logs.csv,0,0.05
